,Denominator,Numerator,Weighted % ,"Lower 95%
Confidence Interval","Upper 95%
Confidence Interval",Year,Pregnancy Intention,Sites,State,Region,Stabr
709,776,555,70.0,65.9,73.8,2021,Intended pregnancy ,Maine,Maine,Northeast,ME
710,1310,903,71.3,68.2,74.3,2021,Intended pregnancy ,Massachusetts,Massachusetts,Northeast,MA
711,1360,784,62.5,59.4,65.6,2021,Intended pregnancy ,Michigan,Michigan,Midwest,MI
712,587,346,67.7,62.0,73.0,2021,Intended pregnancy ,Minnesota,Minnesota,Midwest,MN
713,865,364,47.1,43.0,51.3,2021,Intended pregnancy ,Mississippi,Mississippi,South,MS
714,812,487,59.8,55.8,63.6,2021,Intended pregnancy ,Missouri,Missouri,Midwest,MO
715,1147,704,61.9,58.8,64.9,2021,Intended pregnancy ,Montana,Montana,West,MT
716,1214,721,61.1,57.4,64.6,2021,Intended pregnancy ,Nebraska,Nebraska,Midwest,NE
717,923,594,66.2,63.0,69.3,2021,Intended pregnancy ,New Jersey,New Jersey,Northeast,NJ
718,1044,649,60.7,57.8,63.6,2021,Intended pregnancy ,New Mexico,New Mexico,West,NM
719,581,358,64.7,60.1,69.0,2021,Intended pregnancy ,North Dakota,North Dakota,Midwest,ND
720,1452,715,53.4,49.5,57.2,2021,Intended pregnancy ,Oklahoma,Oklahoma,South,OK
721,1834,1180,69.7,66.4,72.7,2021,Intended pregnancy ,Oregon,Oregon,West,OR
722,908,566,60.2,56.2,64.0,2021,Intended pregnancy ,Pennsylvania,Pennsylvania,Northeast,PA
723,1019,542,61.7,58.4,64.9,2021,Intended pregnancy ,South Dakota,South Dakota,Midwest,SD
724,619,308,51.6,47.0,56.2,2021,Intended pregnancy ,Tennessee,Tennessee,South,TN
725,1238,814,68.2,65.2,71.1,2021,Intended pregnancy ,Utah,Utah,West,UT
726,936,696,72.0,69.0,74.8,2021,Intended pregnancy ,Vermont,Vermont,Northeast,VT
727,925,642,67.9,62.5,72.8,2021,Intended pregnancy ,Virginia,Virginia,South,VA
728,1103,725,68.8,65.4,72.0,2021,Intended pregnancy ,Washington,Washington,West,WA
729,597,392,70.0,65.3,74.2,2021,Intended pregnancy ,West Virginia,West Virginia,South,WV
730,751,444,69.3,65.0,73.3,2021,Intended pregnancy ,Wisconsin,Wisconsin,Midwest,WI
731,444,270,59.8,54.2,65.2,2021,Intended pregnancy ,Wyoming,Wyoming,West,WY
