,YEAR,STATE,RATE,State,Region,Stabr
117,2019,LA,36.7,Louisiana,South,LA
118,2019,ME,30.2,Maine,Northeast,ME
119,2019,MD,33.0,Maryland,South,MD
120,2019,MA,31.4,Massachusetts,Northeast,MA
121,2019,MI,32.0,Michigan,Midwest,MI
122,2019,MN,27.6,Minnesota,Midwest,MN
123,2019,MS,38.5,Mississippi,South,MS
124,2019,MO,30.1,Missouri,Midwest,MO
125,2019,MT,28.4,Montana,West,MT
126,2019,NE,29.1,Nebraska,Midwest,NE
127,2019,NV,32.8,Nevada,West,NV
128,2019,NH,31.6,New Hampshire,Northeast,NH
129,2019,NJ,33.8,New Jersey,Northeast,NJ
130,2019,NM,26.4,New Mexico,West,NM
131,2019,NY,33.2,New York,Northeast,NY
132,2019,NC,29.1,North Carolina,South,NC
133,2019,ND,26.5,North Dakota,Midwest,ND
134,2019,OH,31.0,Ohio,Midwest,OH
135,2019,OK,32.1,Oklahoma,South,OK
136,2019,OR,28.0,Oregon,West,OR
137,2019,PA,30.2,Pennsylvania,Northeast,PA
138,2019,RI,32.0,Rhode Island,Northeast,RI
139,2019,SC,33.2,South Carolina,South,SC
140,2019,SD,24.5,South Dakota,Midwest,SD
141,2019,TN,31.8,Tennessee,South,TN
142,2019,TX,34.8,Texas,South,TX
143,2019,UT,23.1,Utah,West,UT
144,2019,VT,25.8,Vermont,Northeast,VT
145,2019,VA,31.9,Virginia,South,VA
146,2019,WA,27.8,Washington,West,WA
147,2019,WV,34.6,West Virginia,South,WV
148,2019,WI,26.7,Wisconsin,Midwest,WI
149,2019,WY,26.3,Wyoming,West,WY
150,2018,AL,34.7,Alabama,South,AL
151,2018,AK,22.4,Alaska,West,AK
152,2018,AZ,27.5,Arizona,West,AZ
153,2018,AR,34.8,Arkansas,South,AR
154,2018,CA,30.9,California,West,CA
155,2018,CO,26.1,Colorado,West,CO
156,2018,CT,34.8,Connecticut,Northeast,CT
157,2018,DE,31.3,Delaware,South,DE
158,2018,FL,36.8,Florida,South,FL
159,2018,GA,34.0,Georgia,South,GA
160,2018,HI,26.9,Hawaii,West,HI
161,2018,ID,24.0,Idaho,West,ID
162,2018,IL,31.2,Illinois,Midwest,IL
163,2018,IN,29.8,Indiana,Midwest,IN
164,2018,IA,29.8,Iowa,Midwest,IA
165,2018,KS,29.7,Kansas,Midwest,KS
166,2018,KY,34.3,Kentucky,South,KY
167,2018,LA,37.0,Louisiana,South,LA
168,2018,ME,30.4,Maine,Northeast,ME
169,2018,MD,33.9,Maryland,South,MD
170,2018,MA,31.5,Massachusetts,Northeast,MA
171,2018,MI,32.1,Michigan,Midwest,MI
172,2018,MN,27.0,Minnesota,Midwest,MN
173,2018,MS,38.3,Mississippi,South,MS
174,2018,MO,30.0,Missouri,Midwest,MO
175,2018,MT,28.1,Montana,West,MT
176,2018,NE,29.9,Nebraska,Midwest,NE
177,2018,NV,33.8,Nevada,West,NV
178,2018,NH,31.6,New Hampshire,Northeast,NH
179,2018,NJ,34.9,New Jersey,Northeast,NJ
180,2018,NM,25.3,New Mexico,West,NM
181,2018,NY,33.9,New York,Northeast,NY
182,2018,NC,29.4,North Carolina,South,NC
183,2018,ND,26.5,North Dakota,Midwest,ND
184,2018,OH,30.8,Ohio,Midwest,OH
185,2018,OK,32.8,Oklahoma,South,OK
186,2018,OR,28.0,Oregon,West,OR
187,2018,PA,30.1,Pennsylvania,Northeast,PA
188,2018,RI,32.2,Rhode Island,Northeast,RI
189,2018,SC,33.5,South Carolina,South,SC
190,2018,SD,24.6,South Dakota,Midwest,SD
191,2018,TN,32.4,Tennessee,South,TN
192,2018,TX,35.0,Texas,South,TX
193,2018,UT,22.7,Utah,West,UT
194,2018,VT,25.9,Vermont,Northeast,VT
195,2018,VA,32.4,Virginia,South,VA
196,2018,WA,27.9,Washington,West,WA
197,2018,WV,34.1,West Virginia,South,WV
198,2018,WI,26.6,Wisconsin,Midwest,WI
199,2018,WY,27.4,Wyoming,West,WY
200,2017,AL,35.1,Alabama,South,AL
201,2017,AK,22.5,Alaska,West,AK
202,2017,AZ,26.9,Arizona,West,AZ
203,2017,AR,33.5,Arkansas,South,AR
204,2017,CA,31.4,California,West,CA
205,2017,CO,26.5,Colorado,West,CO
206,2017,CT,34.8,Connecticut,Northeast,CT
207,2017,DE,31.8,Delaware,South,DE
208,2017,FL,37.2,Florida,South,FL
209,2017,GA,34.2,Georgia,South,GA
210,2017,HI,25.9,Hawaii,West,HI
211,2017,ID,23.7,Idaho,West,ID
212,2017,IL,31.1,Illinois,Midwest,IL
213,2017,IN,29.7,Indiana,Midwest,IN
214,2017,IA,29.7,Iowa,Midwest,IA
215,2017,KS,30.0,Kansas,Midwest,KS
216,2017,KY,35.2,Kentucky,South,KY
217,2017,LA,37.5,Louisiana,South,LA
218,2017,ME,29.9,Maine,Northeast,ME
219,2017,MD,33.9,Maryland,South,MD
220,2017,MA,31.6,Massachusetts,Northeast,MA
221,2017,MI,31.9,Michigan,Midwest,MI
222,2017,MN,27.4,Minnesota,Midwest,MN
223,2017,MS,37.8,Mississippi,South,MS
224,2017,MO,30.1,Missouri,Midwest,MO
225,2017,MT,28.5,Montana,West,MT
226,2017,NE,30.4,Nebraska,Midwest,NE
227,2017,NV,34.1,Nevada,West,NV
228,2017,NH,31.0,New Hampshire,Northeast,NH
229,2017,NJ,35.9,New Jersey,Northeast,NJ
230,2017,NM,24.7,New Mexico,West,NM
231,2017,NY,34.1,New York,Northeast,NY
232,2017,NC,29.4,North Carolina,South,NC
233,2017,ND,28.3,North Dakota,Midwest,ND
234,2017,OH,30.3,Ohio,Midwest,OH
235,2017,OK,32.2,Oklahoma,South,OK
236,2017,OR,28.1,Oregon,West,OR
237,2017,PA,30.5,Pennsylvania,Northeast,PA
238,2017,RI,31.5,Rhode Island,Northeast,RI
239,2017,SC,33.5,South Carolina,South,SC
240,2017,SD,24.5,South Dakota,Midwest,SD
241,2017,TN,32.4,Tennessee,South,TN
242,2017,TX,35.0,Texas,South,TX
243,2017,UT,22.8,Utah,West,UT
244,2017,VT,25.7,Vermont,Northeast,VT
245,2017,VA,32.6,Virginia,South,VA
246,2017,WA,27.7,Washington,West,WA
247,2017,WV,35.2,West Virginia,South,WV
248,2017,WI,26.4,Wisconsin,Midwest,WI
249,2017,WY,26.4,Wyoming,West,WY
250,2016,AL,34.4,Alabama,South,AL
251,2016,AK,23.0,Alaska,West,AK
252,2016,AZ,27.5,Arizona,West,AZ
253,2016,AR,32.3,Arkansas,South,AR
254,2016,CA,31.9,California,West,CA
255,2016,CO,26.2,Colorado,West,CO
256,2016,CT,35.4,Connecticut,Northeast,CT
257,2016,DE,31.8,Delaware,South,DE
258,2016,FL,37.4,Florida,South,FL
259,2016,GA,33.8,Georgia,South,GA
260,2016,HI,25.2,Hawaii,West,HI
261,2016,ID,23.9,Idaho,West,ID
262,2016,IL,31.1,Illinois,Midwest,IL
263,2016,IN,29.8,Indiana,Midwest,IN
264,2016,IA,30.1,Iowa,Midwest,IA
265,2016,KS,29.5,Kansas,Midwest,KS
266,2016,KY,34.6,Kentucky,South,KY
267,2016,LA,37.5,Louisiana,South,LA
268,2016,ME,28.9,Maine,Northeast,ME
269,2016,MD,33.7,Maryland,South,MD
270,2016,MA,31.3,Massachusetts,Northeast,MA
271,2016,MI,32.0,Michigan,Midwest,MI
272,2016,MN,26.8,Minnesota,Midwest,MN
273,2016,MS,38.2,Mississippi,South,MS
274,2016,MO,30.2,Missouri,Midwest,MO
275,2016,MT,29.1,Montana,West,MT
276,2016,NE,31.0,Nebraska,Midwest,NE
277,2016,NV,33.8,Nevada,West,NV
278,2016,NH,30.9,New Hampshire,Northeast,NH
279,2016,NJ,36.2,New Jersey,Northeast,NJ
280,2016,NM,24.8,New Mexico,West,NM
281,2016,NY,33.8,New York,Northeast,NY
282,2016,NC,29.4,North Carolina,South,NC
283,2016,ND,26.8,North Dakota,Midwest,ND
284,2016,OH,30.8,Ohio,Midwest,OH
285,2016,OK,32.0,Oklahoma,South,OK
286,2016,OR,27.2,Oregon,West,OR
287,2016,PA,29.8,Pennsylvania,Northeast,PA
288,2016,RI,31.2,Rhode Island,Northeast,RI
289,2016,SC,33.5,South Carolina,South,SC
290,2016,SD,25.3,South Dakota,Midwest,SD
291,2016,TN,32.5,Tennessee,South,TN
292,2016,TX,34.4,Texas,South,TX
293,2016,UT,22.3,Utah,West,UT
294,2016,VT,25.7,Vermont,Northeast,VT
295,2016,VA,33.0,Virginia,South,VA
296,2016,WA,27.4,Washington,West,WA
297,2016,WV,34.9,West Virginia,South,WV
298,2016,WI,26.0,Wisconsin,Midwest,WI
299,2016,WY,27.4,Wyoming,West,WY
